event_id,student_id,event_date,course_category,completion_pct,time_spent_minutes,status
EVT-26828,8679,2024-08-08,Security,15.71,257,completed
EVT-18981,5982,03/07/2024,Engineering,20.56,410,completed
EVT-79163,7594,September 29 2024,Engineering,69.72,49,completed
EVT-96474,5460,April 27 2024,Security,73.0,194,completed
EVT-97684,9199,October 13 2024,Business,28.15,138,completed
EVT-76237,9847,2024-06-30,Business,4.96,136,completed
EVT-76307,9090,July 22 2024,Security,83.99,379,completed
EVT-65296,8172,01/22/2024,Design,36.08,330,in_progress
EVT-24663,2317,01/10/2024,Data,29.45,263,completed
EVT-46421,1653,02/09/2024,Business,60.02,314,completed
EVT-99065,8078,10/21/2024,Data,2.57,325,completed
EVT-83000,6280,10/20/2024,Engineering,29.18,110,completed
EVT-87128,5102,December 29 2024,Engineering,84.38,244,completed
EVT-42493,1423,08/01/2024,Business,39.75,64,completed
EVT-38016,2496,02/28/2024,Design,66.1,79,completed
EVT-65519,4750,01/11/2024,Engineering,54.41,165,completed
EVT-89131,1339,March 28 2024,Data,88.55,13,in_progress
EVT-56566,5415,August 23 2024,Design,44.58,212,completed
EVT-91070,1659,2024-07-04,Business,46.51,180,completed
EVT-11025,3870,2024-08-11,Engineering,26.86,440,in_progress
EVT-46500,8708,05/04/2024,Business,75.22,327,completed
EVT-63354,9502,10/28/2024,Design,8.57,204,completed
EVT-63964,8245,2024-09-25,Design,54.14,421,dropped
EVT-82845,5557,07/21/2024,Design,58.97,451,completed
EVT-80468,3973,2024-06-22,Security,84.08,178,completed
EVT-10074,8141,2024-06-19,Security,41.86,235,completed
EVT-30257,9056,February 09 2024,Data,86.69,181,completed
EVT-98259,2494,2024-11-20,Design,88.17,230,completed
EVT-85674,8700,September 28 2024,Design,7.9,427,dropped
EVT-80292,6700,04/09/2024,Engineering,71.43,431,completed
EVT-17100,7690,June 28 2024,Data,90.05,450,completed
EVT-19287,6460,2024-11-26,Data,67.75,343,completed
EVT-97806,6260,2024-04-30,Business,12.03,314,completed
EVT-62296,2713,03/15/2024,Design,17.29,79,dropped
EVT-17665,3634,2024-04-11,Engineering,97.22,163,completed
EVT-85525,6403,2024-11-04,Business,12.62,174,completed
EVT-87397,7744,2024-12-01,Security,98.83,318,completed
EVT-16658,9117,March 31 2024,Design,99.73,365,completed
EVT-82063,5722,09/09/2024,Data,83.41,112,completed
EVT-94012,7561,October 15 2024,Design,91.08,255,completed
EVT-22097,1601,August 17 2024,Design,6.7,170,in_progress
EVT-82692,8451,October 16 2024,Security,39.74,100,completed
EVT-59797,2442,November 21 2024,Engineering,27.62,213,completed
EVT-69177,6153,June 14 2024,Engineering,87.35,173,completed
EVT-62565,5135,2024-06-10,Engineering,62.31,159,completed
EVT-58393,6296,2024-08-13,Business,41.96,386,completed
EVT-76244,2899,08/28/2024,Engineering,14.82,365,completed
EVT-30033,7622,11/19/2024,Business,75.84,334,completed
EVT-40007,9431,May 20 2024,Security,92.49,261,in_progress
EVT-82357,1018,01/29/2024,Design,10.1,304,dropped
EVT-18907,9889,2024-09-16,Business,53.56,410,completed
EVT-44973,8569,06/07/2024,Security,41.09,134,completed
EVT-39831,7770,2024-08-19,Business,48.56,176,completed
EVT-36071,1888,01/30/2024,Security,3.75,202,completed
EVT-87236,4073,2024-05-26,Engineering,14.39,153,in_progress
EVT-15209,9494,2024-11-26,Engineering,69.37,428,completed
EVT-54597,6927,November 10 2024,Security,,412,completed
EVT-16175,9167,09/16/2024,Data,33.15,211,in_progress
EVT-28301,8242,August 24 2024,Security,74.57,196,completed
EVT-13248,1845,October 10 2024,Business,89.7,68,in_progress
EVT-56025,4335,01/22/2024,Security,,298,in_progress
EVT-31319,5375,October 19 2024,Design,30.31,112,completed
EVT-19071,9998,04/06/2024,Data,49.16,313,dropped
EVT-48427,3146,11/05/2024,Security,9.82,289,completed
EVT-11934,5719,2024-09-13,Data,13.44,102,completed
EVT-25713,8178,02/01/2024,Data,44.31,359,completed
EVT-59672,8941,02/22/2024,Security,26.94,403,completed
EVT-19862,2989,2024-12-31,Security,64.56,291,completed
EVT-42527,1472,September 15 2024,Engineering,21.14,23,in_progress
EVT-56438,4920,2024-03-29,Security,74.09,382,completed
EVT-75612,3594,May 06 2024,Security,86.72,246,completed
EVT-15075,6091,08/12/2024,Engineering,51.53,372,completed
EVT-26483,1224,September 25 2024,Engineering,31.11,117,completed
EVT-20328,7684,2024-11-08,Design,13.56,234,in_progress
EVT-98696,2527,07/05/2024,Security,87.93,418,completed
EVT-38534,4681,05/24/2024,Business,,159,completed
EVT-84364,2858,07/28/2024,Data,83.29,435,in_progress
EVT-20745,8560,December 13 2024,Engineering,24.95,364,completed
EVT-80686,2924,January 27 2024,Security,91.8,45,completed
EVT-44814,3522,11/27/2024,Business,27.4,429,dropped
EVT-50404,9165,02/03/2024,Data,50.51,444,completed
EVT-19602,5781,February 18 2024,Security,12.39,417,completed
EVT-65333,9337,12/13/2024,Business,,417,completed
EVT-16006,5479,05/25/2024,Data,59.4,219,completed
EVT-54313,7807,December 02 2024,Business,87.05,354,completed
EVT-58520,8905,03/17/2024,Engineering,34.98,265,completed
EVT-25860,8736,February 11 2024,Security,89.45,81,completed
EVT-61173,4993,2024-12-05,Business,68.89,334,in_progress
EVT-82512,8483,06/28/2024,Business,38.66,165,completed
EVT-37938,3369,December 01 2024,Security,57.23,133,in_progress
EVT-31299,7284,12/05/2024,Data,85.71,139,completed
EVT-71694,4122,March 07 2024,Security,67.77,347,completed
EVT-62923,9327,2024-12-28,Business,40.95,88,completed
EVT-38864,3236,June 07 2024,Design,,376,completed
EVT-22363,2143,July 11 2024,Data,76.76,226,in_progress
EVT-39256,5526,2024-06-17,Business,,414,completed
EVT-69638,7798,December 09 2024,Design,64.74,203,completed
EVT-38657,6568,December 16 2024,Data,0.85,47,in_progress
EVT-86569,9318,February 17 2024,Engineering,80.51,239,dropped
EVT-81066,5377,12/09/2024,Security,96.7,316,completed
EVT-24592,1042,09/17/2024,Data,42.38,255,completed
EVT-23396,5634,01/10/2024,Data,34.87,308,completed
EVT-96752,5891,2024-06-07,Business,46.67,215,completed
EVT-59009,9022,04/19/2024,Design,82.43,283,completed
EVT-46463,3434,2024-09-05,Data,10.23,269,dropped
EVT-80282,8316,2024-04-25,Security,66.24,455,dropped
EVT-79822,9824,2024-03-20,Data,37.42,364,dropped
EVT-95909,8935,2024-05-31,Data,60.91,224,completed
EVT-83519,6654,September 16 2024,Business,10.81,288,in_progress
EVT-38221,6446,2024-09-26,Data,98.84,28,completed
EVT-97841,9903,12/04/2024,Design,86.15,414,completed
EVT-59823,7180,2024-11-12,Business,71.11,194,completed
EVT-42591,8460,11/01/2024,Engineering,29.88,369,in_progress
EVT-61876,6272,2024-03-19,Engineering,76.55,468,dropped
EVT-44600,4090,April 02 2024,Business,80.54,425,in_progress
EVT-49651,4912,2024-11-15,Design,60.0,284,completed
EVT-56357,7274,2024-08-12,Business,68.08,314,completed
EVT-70068,4826,07/29/2024,Business,65.54,336,completed
EVT-19305,7730,December 12 2024,Business,25.94,478,completed
EVT-81426,1715,05/01/2024,Business,38.83,53,completed
EVT-20500,6213,11/08/2024,Data,,65,in_progress
EVT-60019,8749,2024-08-17,Security,57.2,403,completed
EVT-47353,7246,2024-09-30,Engineering,72.65,137,completed
EVT-37607,7325,06/07/2024,Design,53.46,346,completed
EVT-88193,3492,04/09/2024,Data,90.65,350,completed
EVT-17331,9115,December 13 2024,Engineering,50.73,191,in_progress
EVT-28373,1606,08/13/2024,Security,84.06,95,completed
EVT-19358,3068,05/24/2024,Business,18.11,341,completed
EVT-26361,9229,September 14 2024,Security,12.79,323,completed
EVT-58434,6439,2024-08-02,Engineering,80.83,32,completed
EVT-19116,2644,April 12 2024,Engineering,18.31,298,completed
EVT-26704,8213,03/11/2024,Data,33.56,340,completed
EVT-11934,2633,January 27 2024,Data,35.53,356,completed
EVT-80855,9617,09/03/2024,Design,30.71,341,in_progress
EVT-80644,8486,2024-10-10,Business,33.13,214,completed
EVT-13101,1251,December 30 2024,Security,29.41,395,completed
EVT-73788,3361,03/04/2024,Business,47.05,179,completed
EVT-49240,7717,2024-02-12,Security,58.36,417,in_progress
EVT-55745,3529,05/19/2024,Business,7.12,230,completed
EVT-88172,2225,2024-09-19,Engineering,50.05,64,completed
EVT-95649,8692,2024-08-11,Engineering,38.17,15,completed
EVT-75909,5342,04/23/2024,Business,5.41,60,in_progress
EVT-46930,6546,2024-06-27,Design,13.74,142,in_progress
EVT-25118,7512,2024-07-31,Engineering,40.92,123,completed
EVT-84341,2315,July 21 2024,Design,90.66,271,completed
EVT-57400,6383,2024-07-10,Engineering,31.64,392,completed
EVT-36685,9742,2024-07-16,Data,77.89,275,completed
EVT-31178,7226,2024-07-10,Data,63.1,295,completed
EVT-42098,6188,01/15/2024,Business,63.45,307,completed
EVT-46509,8994,February 20 2024,Security,,362,in_progress
EVT-24168,9864,11/28/2024,Data,76.12,304,in_progress
EVT-62350,1588,2024-03-15,Engineering,76.45,123,completed
EVT-74042,2121,01/20/2024,Engineering,76.36,238,in_progress
EVT-76542,4846,August 29 2024,Data,61.45,201,in_progress
EVT-30289,5708,March 12 2024,Data,40.34,210,completed
EVT-51245,4727,08/28/2024,Security,38.33,247,dropped
EVT-96673,2480,2024-11-11,Data,,405,completed
