order_id,customer_id,region,order_date,product_category,amount,quantity,status
ORD-69638,8679,West,25/07/2024,Electronics,456.19,4,completed
ORD-46509,5982,South,24/01/2024,Home,325.58,9,returned
ORD-54313,7594,South,Jan 27 2024,Home,275.57,4,returned
ORD-30676,5460,West,2024-10-14,Food,389.19,7,completed
ORD-33509,9199,South,Jul 04 2024,Electronics,150.62,8,completed
ORD-31579,9847,East,2024-05-27,Food,342.92,1,completed
ORD-16175,9090,North,Jul 16 2024,Electronics,91.03,3,completed
ORD-46421,8172,West,Aug 18 2024,Electronics,191.71,5,completed
ORD-42271,2317,North,May 23 2024,Electronics,280.52,2,returned
ORD-46265,1653,West,Dec 14 2024,Food,294.07,1,returned
ORD-56566,8078,North,2024-03-01,Electronics,168.63,4,completed
ORD-40982,6280,West,19/02/2024,Clothing,81.63,9,completed
ORD-59009,5102,North,10/07/2024,Clothing,164.7,7,returned
ORD-19602,1423,East,12/10/2024,Sports,-466.53,6,returned
ORD-82357,2496,West,2024-03-14,Clothing,332.64,8,completed
ORD-83385,4750,West,Nov 04 2024,Sports,288.48,2,completed
ORD-57400,1339,West,Jul 24 2024,Clothing,393.1,10,returned
ORD-82063,5415,East,2024-01-21,Food,113.88,2,completed
ORD-76237,1659,North,2024-01-20,Sports,38.75,9,completed
ORD-19071,3870,West,31/12/2024,Home,210.89,3,returned
ORD-79163,8708,North,Aug 30 2024,Home,50.51,7,completed
ORD-17100,9502,East,2024-08-21,Clothing,110.61,2,completed
ORD-62296,8245,South,Nov 06 2024,Home,183.59,10,completed
ORD-26483,5557,West,12/03/2024,Clothing,377.56,10,completed
ORD-19287,3973,East,09/11/2024,Clothing,498.33,1,completed
ORD-76542,8141,North,24/03/2024,Home,490.66,7,completed
ORD-93130,9056,West,Nov 11 2024,Home,,3,completed
ORD-36071,2494,North,Jun 02 2024,Electronics,225.61,4,returned
ORD-14117,8700,South,Jun 21 2024,Sports,308.78,5,completed
ORD-42706,6700,West,Sep 17 2024,Clothing,479.65,5,completed
ORD-31319,7690,West,Sep 07 2024,Home,163.86,6,completed
ORD-55830,6460,North,15/10/2024,Sports,472.77,7,returned
ORD-85674,6260,West,2024-08-31,Home,272.42,6,completed
ORD-46500,2713,East,07/07/2024,Home,456.11,6,completed
ORD-30866,3634,East,2024-12-10,Electronics,190.6,8,completed
ORD-89131,6403,South,Aug 01 2024,Clothing,225.55,5,completed
ORD-94012,7744,East,Jun 06 2024,Clothing,,4,completed
ORD-28301,9117,South,Dec 18 2024,Food,100.29,2,completed
ORD-87397,5722,North,Jan 14 2024,Electronics,474.36,4,pending
ORD-30289,7561,North,30/08/2024,Sports,478.36,3,returned
ORD-67433,1601,South,Dec 01 2024,Electronics,8.63,10,completed
ORD-34957,8451,East,2024-10-22,Sports,-336.82,2,completed
ORD-83000,2442,East,Jan 27 2024,Clothing,433.15,3,completed
ORD-51104,6153,South,2024-09-02,Food,56.44,2,completed
ORD-59797,5135,South,Sep 25 2024,Food,352.86,3,completed
ORD-83792,6296,North,13/11/2024,Clothing,388.73,8,completed
ORD-22363,2899,South,Mar 16 2024,Home,470.18,8,completed
ORD-29410,7622,East,2024-05-04,Electronics,81.11,6,completed
ORD-27361,9431,South,Oct 20 2024,Food,169.2,7,returned
ORD-56438,1018,South,2024-02-26,Home,31.86,2,completed
ORD-80686,9889,South,10/01/2024,Sports,281.25,9,completed
ORD-47353,8569,North,09/06/2024,Food,117.68,6,completed
ORD-79822,7770,South,18/03/2024,Sports,197.08,4,completed
ORD-26828,1888,West,2024-12-19,Home,219.35,8,returned
ORD-59672,4073,West,Jul 29 2024,Sports,,5,completed
ORD-91070,9494,West,09/11/2024,Home,269.74,8,pending
ORD-65333,6927,East,Feb 01 2024,Sports,311.08,5,completed
ORD-17944,9167,East,Mar 11 2024,Electronics,294.88,2,completed
ORD-95649,8242,South,Apr 16 2024,Food,40.93,2,completed
ORD-69177,1845,West,Jun 15 2024,Food,57.54,3,completed
ORD-69177,4335,North,Sep 01 2024,Home,154.17,5,completed
ORD-54597,5375,West,11/07/2024,Sports,383.81,10,completed
ORD-11934,9998,West,29/03/2024,Clothing,200.58,1,completed
ORD-87236,3146,East,29/09/2024,Food,239.62,4,returned
ORD-48427,5719,East,06/10/2024,Sports,72.51,6,completed
ORD-38785,8178,North,Dec 12 2024,Sports,399.75,3,completed
ORD-85880,8941,East,Dec 14 2024,Electronics,480.27,2,completed
ORD-38864,2989,North,20/12/2024,Clothing,340.26,4,completed
ORD-28373,1472,East,08/11/2024,Food,398.53,6,returned
ORD-51441,4920,West,2024-04-08,Electronics,189.7,7,completed
ORD-26704,3594,West,May 22 2024,Clothing,278.99,9,completed
ORD-66498,6091,North,2024-06-01,Food,66.0,1,completed
ORD-22833,1224,North,01/06/2024,Electronics,,5,completed
ORD-42591,7684,East,2024-12-26,Clothing,270.89,5,completed
ORD-20328,2527,East,Dec 19 2024,Food,155.82,3,completed
ORD-98696,4681,North,07/09/2024,Clothing,452.26,1,pending
ORD-81066,2858,North,02/09/2024,Sports,209.26,7,completed
ORD-13248,8560,West,Oct 13 2024,Home,258.71,8,returned
ORD-50404,2924,West,20/05/2024,Home,114.29,9,completed
ORD-10074,3522,North,Mar 03 2024,Sports,101.19,9,completed
ORD-49240,9165,West,Dec 12 2024,Clothing,400.83,4,returned
ORD-56898,5781,South,13/07/2024,Sports,426.44,2,completed
ORD-86569,9337,East,2024-06-25,Home,497.18,8,completed
ORD-42914,5479,West,2024-05-28,Home,277.08,2,completed
ORD-16006,7807,South,May 27 2024,Clothing,38.34,3,returned
ORD-38534,8905,North,10/02/2024,Home,364.17,2,returned
ORD-58520,8736,West,Aug 14 2024,Sports,168.77,1,returned
ORD-15482,4993,North,May 11 2024,Clothing,329.46,1,completed
ORD-47388,8483,East,2024-09-02,Sports,311.66,4,completed
ORD-23473,3369,North,Apr 13 2024,Clothing,162.3,3,completed
ORD-55745,7284,South,May 18 2024,Home,310.09,4,completed
